#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
SH025594.07FU_JF775517_reps	7	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Sclerotiniaceae; g__Amphobotrys; s__Amphobotrys_ricini
SH022131.07FU_GU078645_reps_singleton	0	0	137	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Ascobolaceae; g__Ascobolus; s__
SH018045.07FU_AY515357_reps_singleton	1	0	0	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__
SH024119.07FU_GU078651_reps	0	0	0	17	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__; g__; s__
SH488665.07FU_KP686183_reps_singleton	2	0	0	5	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium; s__Cladosporium_cladosporioides
SH013942.07FU_KC222723_reps	9	9	4	9	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__; s__
SH469362.07FU_HM751802_reps_singleton	2	57	0	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__Peziza; s__
SH026355.07FU_JQ246356_reps	3	1	0	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH493301.07FU_JX385247_reps_singleton	1	1	5	17	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__; s__
SH028674.07FU_AF138287_refs	75	6	3	18	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_flavus
SH021530.07FU_KJ494646_refs	0	0	7	0	k__Fungi; p__Basidiomycota; c__Wallemiomycetes; o__Wallemiales; f__Wallemiaceae; g__Wallemia; s__Wallemia_hederae
SH024549.07FU_EU437434_reps	0	0	21	0	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH008341.07FU_JX496020_reps	0	0	6	4	k__Fungi; p__; c__; o__; f__; g__; s__
SH025345.07FU_FN812805_reps	0	0	6	4	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Scytalidium; s__Scytalidium_lignicola
SH489671.07FU_KT799160_reps_singleton	3	3	262	45	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_alternatum
SH462236.07FU_JN890254_reps_singleton	22	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__
SH496799.07FU_KP714281_reps_singleton	143	0	91	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Myrothecium; s__Myrothecium_roridum
SH005076.07FU_DQ420869_refs	14	0	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__; g__; s__
SH008475.07FU_AB701368_reps_singleton	4	1	4	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Hypoxylon; s__Hypoxylon_investiens
